ID,Health,Type
1,20,Dove
2,80,Dove
3,20,Dove
4,40,Dove
5,60,Dove
6,60,Dove
7,20,Dove
8,80,Dove
9,100,Dove
10,60,Dove
11,100,Dove
12,40,Dove
13,40,Dove
14,80,Dove
15,60,Dove
16,40,Dove
17,60,Dove
18,40,Dove
19,80,Dove
20,100,Dove
21,80,Dove
22,20,Dove
23,40,Hawk
24,100,Hawk
25,100,Hawk
26,20,Hawk
27,60,Hawk
28,100,Hawk
29,20,Hawk
30,40,Hawk
31,20,Hawk
32,100,Hawk
33,80,Hawk
34,20,Hawk
35,20,Hawk
36,80,Hawk
37,80,Hawk
38,100,Hawk
39,20,Hawk
40,100,Hawk
41,60,Hawk
42,80,Hawk
43,20,Hawk
44,60,Hawk
45,100,Hawk
