ID,Health,Type
1,60,Dove
2,60,Dove
3,80,Dove
4,100,Dove
5,20,Dove
6,60,Dove
7,40,Dove
8,80,Dove
9,60,Dove
10,80,Dove
11,60,Dove
12,100,Dove
13,40,Dove
14,20,Dove
15,20,Dove
16,60,Dove
17,40,Dove
18,40,Dove
19,60,Dove
20,60,Dove
21,60,Dove
22,60,Dove
23,80,Dove
24,60,Dove
25,60,Dove
26,40,Dove
27,60,Dove
28,40,Dove
29,60,Dove
30,20,Dove
31,100,Dove
32,20,Dove
33,20,Hawk
34,100,Hawk
35,80,Hawk
36,20,Hawk
37,60,Hawk
38,80,Hawk
39,60,Hawk
40,20,Hawk
41,40,Hawk
42,20,Hawk
43,60,Hawk
44,40,Hawk
45,20,Hawk
46,60,Hawk
47,40,Hawk
48,20,Hawk
49,40,Hawk
50,80,Hawk
51,40,Hawk
52,60,Hawk
53,40,Hawk
54,40,Hawk
55,100,Hawk
56,60,Hawk
57,20,Hawk
58,80,Hawk
59,20,Hawk
60,60,Hawk
61,60,Hawk
62,60,Hawk
63,40,Hawk
